0.30769,0.39583,0.40493,1.353,1.804
0.42308,0.42361,0.44718,1.406,1.852
0.38462,0.4375,0.46026,1.474,1.899
0.38462,0.47222,0.48742,1.535,1.936
0.30769,0.5,0.51358,1.615,1.988
0.46154,0.52083,0.52918,1.655,2.011
0.42308,0.52778,0.54225,1.699,2.043
0.46154,0.54861,0.56992,1.754,2.093
0.42308,0.57639,0.583,1.81,2.144
0.46154,0.60417,0.61066,1.867,2.197
0.53846,0.60417,0.61167,1.917,2.244
0.5,0.61805,0.63833,1.972,2.29
0.46154,0.65972,0.66499,2.022,2.325
0.38462,0.65972,0.66398,2.071,2.2355
0.46154,0.69445,0.69215,2.142,2.2355
0.34615,0.72917,0.74497,2.197,2.2355
0.42308,0.72917,0.73239,2.271,2.2355
0.34615,0.77083,0.78571,2.305,2.2355
0.42308,0.77083,0.77314,2.384,2.2355
0.5,0.78472,0.78773,2.446,2.2355
0.5,0.78472,0.78773,2.531,2.2355
0.5,0.79861,0.80131,2.573,2.2355
0.5,0.79861,0.81489,2.636,2.2355
0.46154,0.85416,0.84155,2.675,2.334
0.5,0.86805,0.86922,2.716,2.276
0.5,0.86805,0.85563,2.754,2.227
0.5,0.90972,0.89638,2.768,2.182
0.53846,0.86111,0.85614,2.71,2.126
0.53846,0.84028,0.85614,2.71,2.062
0.57692,0.86805,0.87022,2.714,1.984
0.57692,0.89583,0.89738,2.7185,1.94
0.53846,0.85416,0.85614,2.7225,1.887
0.65385,0.86805,0.87123,2.7225,1.821
0.57692,0.84028,0.84306,2.7225,1.726
0.65385,0.86111,0.85765,2.742,1.63
0.61538,0.82639,0.82998,2.736,1.558
0.57692,0.8125,0.8159,2.7225,1.435
0.65385,0.79167,0.80332,2.712,1.405
0.69231,0.77778,0.79024,2.724,1.34
0.69231,0.77778,0.77666,2.708,1.243
0.73077,0.74305,0.75,2.721,1.188
0.73077,0.72222,0.73642,2.706,1.116
0.73077,0.72917,0.73642,2.702,1.041
0.73077,0.73611,0.73642,2.737,0.988
0.76923,0.79861,0.72334,2.707,0.923
0.76923,0.70139,0.70976,2.726,0.891
0.76923,0.70139,0.70976,2.712,0.836
0.80769,0.73611,0.73742,2.696,0.788
0.80769,0.70139,0.75101,2.681,0.708
0.80769,0.68055,0.6831,2.668,0.677
0.84615,0.66667,0.6836,2.613,0.7325
0.80769,0.66667,0.66952,2.595,0.7325
0.80769,0.6875,0.69668,2.556,0.7325
0.84615,0.70833,0.71076,2.469,0.7325
0.84615,0.64583,0.65644,2.287,0.7325
0.88462,0.65278,0.67052,2.23,0.7325
0.92308,0.69445,0.69819,2.179,0.7325
0.88462,0.64583,0.64336,2.134,0.7325
0.84615,0.61111,0.61569,2.074,0.633
0.88462,0.59028,0.60262,2.043,0.7325
0.92308,0.58333,0.60312,2.038,0.7325
0.76923,0.57639,0.58753,1.995,0.725
0.88462,0.54167,0.56187,1.957,0.74
0.88462,0.52083,0.53471,1.938,0.724
0.84615,0.5,0.52062,1.938,0.768
0.88462,0.47222,0.49396,1.9685,0.839
0.84615,0.47222,0.47988,1.967,0.886
0.84615,0.4375,0.45272,1.967,0.943
0.80769,0.46528,0.49296,1.967,1.014
0.76923,0.44445,0.45171,1.967,1.102
0.80769,0.41667,0.43863,1.967,1.187
0.80769,0.47222,0.47938,1.967,1.254
0.76923,0.45833,0.46529,1.959,1.311
0.73077,0.46528,0.47837,1.97,1.384
0.76923,0.47917,0.50604,1.961,1.486
0.65385,0.47222,0.50453,1.967,1.565
0.65385,0.48611,0.49095,1.9595,1.636
0.61538,0.50695,0.53119,1.97,1.748
0.53846,0.57639,0.57093,1.967,1.825
0.61538,0.57639,0.57193,1.96,1.92
0.61538,0.5625,0.58551,1.952,2.025
0.5,0.60417,0.59759,1.97,2.05
0.53846,0.59028,0.61167,1.968,2.111
0.53846,0.61805,0.61167,1.978,2.187
0.53846,0.65972,0.65241,1.9555,2.251
0.61538,0.625,0.62626,1.9555,2.301
0.42308,0.68055,0.69165,1.9555,2.352
0.42308,0.70139,0.69165,1.9555,2.352
0.42308,0.67361,0.75956,1.943,2.493
0.42308,0.71528,0.71881,1.887,2.518
0.46154,0.72917,0.7329,1.82,2.529
0.46154,0.74305,0.7329,1.793,2.549
0.42308,0.76389,0.75956,1.752,2.564
0.34615,0.74305,0.77213,1.691,2.4335
0.34615,0.75,0.75855,1.622,2.4335
0.38462,0.73611,0.73189,1.536,2.4335
0.38462,0.72917,0.71831,1.479,2.4335
0.38462,0.71528,0.71831,1.459,2.4335
0.38462,0.71528,0.71831,1.378,2.4335
0.34615,0.73611,0.71781,1.378,2.4335
0.34615,0.70833,0.71781,1.287,2.558
0.26923,0.69445,0.7168,1.226,2.513
0.23077,0.71528,0.70272,1.196,2.471
0.23077,0.6875,0.68913,1.179,2.4335
0.30769,0.71528,0.70372,1.136,2.396
0.30769,0.69445,0.70372,1.119,2.307
0.26923,0.67361,0.67606,1.102,2.24
0.23077,0.65972,0.66197,1.088,2.187
0.19231,0.65972,0.66147,1.093,2.126
0.26923,0.61805,0.64889,1.092,2.07
0.26923,0.61805,0.62173,1.087,2.012
0.23077,0.59722,0.59406,1.079,1.972
0.23077,0.61111,0.60765,1.0935,1.934
0.26923,0.59028,0.59457,1.0925,1.885
0.26923,0.5625,0.58099,1.09,1.826
0.19231,0.52778,0.53924,1.09,1.754
0.30769,0.49305,0.5,1.09,1.667
0.26923,0.50695,0.4995,1.09,1.605
0.26923,0.48611,0.4995,1.088,1.555
0.26923,0.47222,0.48592,1.0875,1.509
0.34615,0.45139,0.5005,1.0845,1.43
0.34615,0.42361,0.4326,1.088,1.343
0.30769,0.45139,0.45926,1.0735,1.261
0.34615,0.38195,0.39185,1.068,1.215
0.42308,0.38195,0.39286,1.068,1.151
0.38462,0.35417,0.36519,1.0675,1.081
0.42308,0.35417,0.36569,1.0645,0.995
0.30769,0.34028,0.32344,1.082,0.938
0.61538,0.32639,0.34105,1.061,0.884
0.57692,0.3125,0.32696,1.057,0.836
0.61538,0.29167,0.3003,1.0535,0.748
0.61538,0.28472,0.28672,1.053,0.69
0.61538,0.27083,0.3003,1.001,0.8405
0.92308,0.26389,0.26358,0.99,0.8405
0.65385,0.24305,0.27364,0.964,0.8405
0.73077,0.21528,0.24748,0.886,0.8405
0.76923,0.22917,0.23441,0.939,0.8405
0.73077,0.22917,0.24748,0.878,0.8405
0.80769,0.21528,0.23491,0.723,0.8405
0.84615,0.19445,0.20825,0.695,0.8405
0.80769,0.20139,0.22133,0.716,0.671
0.80769,0.18055,0.19416,0.644,0.709
0.80769,0.13889,0.167,0.451,0.764
0.80769,0.13889,0.15342,0.527,0.813
0.80769,0.090277,0.11268,0.452,0.845
0.76923,0.090277,0.11217,0.467,0.941
0.69231,0.090277,0.15191,0.4255,1.021
0.38462,0.090277,0.10714,0.404,1.095
0.34615,0.097223,0.12022,0.398,1.132
0.19231,0.10417,0.11821,0.396,1.204
0.23077,0.125,0.13229,0.395,1.251
0.15385,0.11111,0.11771,0.395,1.331
0.15385,0.11111,0.13129,0.357,1.386
0.19231,0.18055,0.18612,0.361,1.441
0.076923,0.18055,0.19819,0.358,1.501
0.15385,0.20139,0.22636,0.395,1.548
0.11538,0.27778,0.28018,0.395,1.548
0,0.26389,0.30584,0.396,1.658
0.038462,0.29167,0.30634,0.394,1.821
0.15385,0.32639,0.32143,0.4,1.882
0.15385,0.34722,0.36217,0.355,1.961
0.15385,0.34722,0.36217,0.408,2.04
0.15385,0.38195,0.38934,0.396,2.08
0.076923,0.39583,0.42907,0.394,2.123
0.23077,0.41667,0.41751,0.383,2.219
0,0.45139,0.44165,0.419,2.284
0.11538,0.48611,0.4839,0.456,2.317
0,0.48611,0.48239,0.475,2.358
0.15385,0.48611,0.48441,0.519,2.38
0,0.47222,0.48239,0.565,2.312
0.30769,0.52778,0.54074,0.63,2.312
0.15385,0.54861,0.55231,0.698,2.312
0.23077,0.55555,0.5669,0.752,2.312
0.038462,0.5625,0.56439,0.829,2.312
0.15385,0.58333,0.59306,0.932,2.312
0.15385,0.55555,0.5659,0.992,2.312
0.11538,0.56945,0.56539,1.035,2.312
0.15385,0.61805,0.62022,1.093,2.312
0.19231,0.57639,0.57998,1.165,2.312
0.26923,0.625,0.63531,1.193,2.354
0.23077,0.57639,0.58048,1.28,2.351
0.23077,0.59722,0.62123,1.366,2.307
0.23077,0.57639,0.58048,1.418,2.248
0.23077,0.61111,0.62123,1.461,2.183
0.30769,0.63889,0.59507,1.512,2.096
0.26923,0.57639,0.58099,1.551,2.028
0.34615,0.625,0.63632,1.588,1.973
0.19231,0.58333,0.59356,1.633,1.915
0.34615,0.61111,0.60915,1.694,1.845
0.42308,0.60417,0.61016,1.677,1.843
0.34615,0.56945,0.58199,1.816,1.689
0.38462,0.55555,0.6504,1.818,1.674
0.34615,0.58333,0.58199,1.824,1.65
0.46154,0.5625,0.5835,1.881,1.551
0.46154,0.57639,0.56992,1.91,1.477
